brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_group,car_age,price_per_hp,price_per_liter,age_bucket,price_bucket
mercedes-benz,a-class,Mercedes A-Class,210000.0,2022,1,160.0,0,hybrid,1.3,1,0,0,0,0,0,Luxury,3,1312.5,161538.46153846153,0-3,200-400k
alfa romeo,giulia,Alfa Romeo Giulia,92400.0,2018,1,197.0,0,petrol,2.0,0,1,1,1,0,0,Other,7,469.03553299492387,46200.0,7-10,50-100k
toyota,sequoia,Toyota Sequoia,120000.0,2008,4,381.0,1,petrol,5.8,1,0,0,0,0,0,Budget,17,314.96062992125985,20689.655172413793,15+,100-200k
hyundai,santa fe,Hyundai Santa Fe,92500.0,2017,1,192.0,1,petrol,2.4,1,1,1,0,0,0,Budget,8,481.7708333333333,38541.66666666667,7-10,50-100k
skoda,karoq,Skoda Karoq,82300.0,2018,2,115.0,0,petrol,1.0,0,1,1,0,1,1,Budget,7,715.6521739130435,82300.0,7-10,50-100k
skoda,karoq,Skoda Karoq,99000.0,2019,2,150.0,0,petrol,1.5,0,1,1,0,1,1,Budget,6,660.0,66000.0,4-6,50-100k
hyundai,i20,Hyundai i20,74000.0,2020,2,100.0,0,petrol,1.0,1,0,1,0,0,0,Budget,5,740.0,74000.0,4-6,50-100k
renault,clio estate,Renault Clio Estate,27800.0,2016,3,118.0,0,petrol,1.2,0,1,1,1,0,0,Budget,9,235.59322033898306,23166.666666666668,7-10,0-50k
jeep,compass,Jeep Compass,129000.0,2021,1,150.0,0,petrol,1.3,0,1,1,0,1,1,Other,4,860.0,99230.76923076923,4-6,100-200k
seat,leon,Seat Leon,105000.0,2018,5,290.0,0,petrol,2.0,1,1,0,1,0,0,Budget,7,362.0689655172414,52500.0,7-10,100-200k
alfa romeo,mito,Alfa Romeo Mito / MITO,70000.0,2018,2,170.0,0,petrol,1.4,1,1,0,1,0,0,Other,7,411.7647058823529,50000.0,7-10,50-100k
audi,q2,Audi Q2,86800.0,2017,1,150.0,0,petrol,1.4,1,1,1,0,0,0,Luxury,8,578.6666666666666,62000.00000000001,7-10,50-100k
mercedes-benz,sprinter,Mercedes Sprinter commercial,195000.0,2021,1,143.0,0,diesel,2.1,1,0,1,0,1,1,Luxury,4,1363.6363636363637,92857.14285714286,4-6,100-200k
citroën,berlingo,Citroen Berlingo 2nd generation (2008-2019),53000.0,2018,3,100.0,0,diesel,1.6,1,0,1,1,0,0,Other,7,530.0,33125.0,7-10,50-100k
geely,geometry c,Geely - Geely Geometry C,156900.0,2024,1,204.0,0,electric,,0,1,0,1,0,0,Other,1,769.1176470588235,,0-3,100-200k
dodge,ram,Dodge Ram short,189900.0,2022,1,370.0,1,petrol,6.7,1,0,0,0,0,0,Other,3,513.2432432432432,28343.283582089553,0-3,100-200k
