brand,model,corrected_brand,corrected_model
abarth,500,abarth,500
abarth,500c,abarth,500c
abarth,595,abarth,595
alfa romeo,147,alfa romeo,147
alfa romeo,159,alfa romeo,159
alfa romeo,giulia,alfa romeo,giulia
alfa romeo,giulietta,alfa romeo,giulietta
alfa romeo,gt,alfa romeo,gt
alfa romeo,mito,alfa romeo,mito
alfa romeo,romeo,alfa romeo,romeo
alfa romeo,romeo 147,alfa romeo,147
alfa romeo,romeo 159,alfa romeo,159
alfa romeo,romeo giulia,alfa romeo,giulia
alfa romeo,romeo mito,alfa romeo,mito
alfa romeo,romeo stelvio,alfa romeo,stelvio
alfa romeo,stelvio,alfa romeo,stelvio
audi,80,audi,80
audi,a1,audi,a1
audi,a3,audi,a3
audi,a4,audi,a4
audi,a5,audi,a5
audi,a6,audi,a6
audi,a7,audi,a7
audi,a8,audi,a8
audi,e-tron,audi,e-tron
audi,etron,audi,e-tron
audi,q2,audi,q2
audi,q3,audi,q3
audi,q5,audi,q5
audi,q7,audi,q7
audi,q8,audi,q8
audi,rs3,audi,rs3
audi,rsq3,audi,rs q3
audi,s3,audi,s3
audi,s4,audi,s4
audi,s5,audi,s5
audi,s8,audi,s8
audi,sq5,audi,sq5
audi,tt,audi,tt
bmw,1 series,bmw,1 series
bmw,2 series,bmw,2 series
bmw,3 series,bmw,3 series
bmw,3 series coupe cabriolet,bmw,3 series coupe cabriolet
bmw,4 series,bmw,4 series
bmw,5 series,bmw,5 series
bmw,6 series,bmw,6 series
bmw,7 series,bmw,7 series
bmw,i3,bmw,i3
bmw,i8,bmw,i8
bmw,m5,bmw,m5
bmw,x1,bmw,x1
bmw,x2,bmw,x2
bmw,x3,bmw,x3
bmw,x4,bmw,x4
bmw,x5,bmw,x5
bmw,x6,bmw,x6
bmw,x7,bmw,x7
bmw,z3,bmw,z3
bmw,z4,bmw,z4
buick,la crosse,buick,la crosse
buick,lucerne,buick,lucerne
buick,rendezvous,buick,rendezvous
byd,atto 3,byd,atto 3
byd,atu 3,byd,atto 3
byd,dolphin,byd,dolphin
byd,seal ev,byd,seal
byd,tang,byd,tang
cadillac,ats,cadillac,ats
cadillac,cts,cadillac,cts
cadillac,escalade,cadillac,escalade
cadillac,srx,cadillac,srx
cadillac,xt4,cadillac,xt4
cadillac,xt5,cadillac,xt5
cadillac,xt6,cadillac,xt6
chery,chery fx,chery,chery fx
chery,chery fx ev,chery,chery fx ev
chery,chery tiggo 8 pro,chery,tiggo 8 pro
chery,fx,chery,fx
chery,fx ev,chery,fx ev
chery,tiggo 7 pro,chery,tiggo 7 pro
chery,tiggo 8 pro,chery,tiggo 8 pro
chevrolet,apika,chevrolet,apika
chevrolet,aveo,chevrolet,aveo
chevrolet,blazer,chevrolet,blazer
chevrolet,blazer 2019 and later,chevrolet,blazer
chevrolet,camaro,chevrolet,camaro
chevrolet,captiva,chevrolet,captiva
chevrolet,colorado,chevrolet,colorado
chevrolet,cruze,chevrolet,cruze
chevrolet,equinox,chevrolet,equinox
chevrolet,impala,chevrolet,impala
chevrolet,malibu,chevrolet,malibu
chevrolet,optra,chevrolet,optra
chevrolet,orlando,chevrolet,orlando
chevrolet,savanna,chevrolet,savanna
chevrolet,silverado 2500,chevrolet,silverado 2500
chevrolet,silverado 3500,chevrolet,silverado 3500
chevrolet,sonic,chevrolet,sonic
chevrolet,spark,chevrolet,spark
chevrolet,trail blazer,chevrolet,trailblazer
chevrolet,traverse,chevrolet,traverse
chevrolet,trax,chevrolet,trax
chevrolet,uplander,chevrolet,uplander
chevrolet,vivant,chevrolet,vivant
chrysler,300c,chrysler,300c
chrysler,crossfire,chrysler,crossfire
chrysler,grand voyager,chrysler,grand voyager
chrysler,pacifica,chrysler,pacifica
chrysler,pt cruiser,chrysler,pt cruiser
chrysler,sebring,chrysler,sebring
chrysler,town country,chrysler,town & country
citroen,berlingo,citroën,berlingo
citroen,berlingo 1st generation until 2012,citroën,berlingo
citroen,berlingo 2nd generation 20082019,citroën,berlingo
citroen,berlingo 3rd generation 2018 onwards,citroën,berlingo
citroen,berlingo electric,citroën,berlingo electric
citroen,c eliza,citroën,c elly
citroen,c1,citroën,c1
citroen,c2,citroën,c2
citroen,c3,citroën,c3
citroen,c3 aircross,citroen,c3 aircross
citroen,c3 picasso,citroen,c3 picasso
citroen,c4,citroen,c4
citroen,c4 cactus,citroen,c4 cactus
citroen,c4 picasso,citroen,c4 picasso
citroen,c4 speedorer,citroen,c4
citroen,c5,citroen,c5
citroen,c5 aircross,citroen,c5 aircross
